variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK-noH,1000.0,7.0,801,20000,1.0,0.1,gauss,0.9999999995011251,4.988749413570304e-10
PK-phaseJ,1000.0,7.0,801,20000,1.0,0.1,gauss,0.9963567187961158,0.003643281203884241
PK-scramble,1000.0,7.0,801,20000,1.0,0.1,gauss,0.996398082160814,0.003601917839185953
CO,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9990713490756421,0.0009286509243578989
RANDW,1000.0,7.0,801,20000,1.0,0.1,gauss,0.9551283225160894,0.04487167748391063
CO,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.9998761423495123,0.00012385765048772424
INTSEQ,1000.0,7.0,801,20000,1.0,0.1,fejer,0.992289096815344,0.007710903184655948
PK,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9960989641093695,0.003901035890630511
PK-oddK,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9964226422913599,0.0035773577086400943
CO,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.999887339634694,0.00011266036530599433
PK-noH,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9999999826505962,1.734940380249128e-08
INTSEQ,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.9988804660711295,0.001119533928870542
PK-scramble,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9960989641093695,0.003901035890630511
INTSEQ,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9988530933097021,0.001146906690297933
RANDW,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9586906635326204,0.041309336467379554
PK-phaseJ,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9960378417348158,0.003962158265184201
PK,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9963980537873973,0.0036019462126026802
PK-oddK,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9964226422913599,0.0035773577086400943
PK-noH,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9999999997776392,2.2236079644244455e-10
CO,1000.0,7.0,801,20000,1.0,0.1,gauss,0.9990556136701585,0.0009443863298415067
PK-scramble,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9963980537873973,0.0036019462126026802
INTSEQ,1000.0,7.0,801,20000,1.0,0.1,gauss,0.9923119398364032,0.007688060163596799
RANDW,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9551239907644191,0.04487600923558088
PK,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9955327109526579,0.00446728904734206
PK-phaseJ,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9963346303355183,0.0036653696644817213
PK-oddK,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9951322025310836,0.004867797468916413
PK-noH,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9999999838128394,1.6187160611913498e-08
PK-scramble,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9955327109526579,0.00446728904734206
RANDW,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9910932852313783,0.008906714768621704
PK-phaseJ,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9955670691290597,0.0044329308709403215
PK,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9948905307923477,0.005109469207652317
PK-oddK,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9951322025310836,0.004867797468916413
PK-noH,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9999999947077716,5.29222843326238e-09
PK-scramble,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9948905307923477,0.005109469207652317
PK-phaseJ,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9949335748919961,0.005066425108003925
CO,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.9990713886116349,0.0009286113883650859
RANDW,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9927611123329496,0.0072388876670503866
CO,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9986764810881734,0.0013235189118265822
INTSEQ,1000.0,7.0,1201,20000,1.0,0.1,fejer,0.992288366150154,0.007711633849845967
PK,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9955320156040321,0.00446798439596785
INTSEQ,1500.0,3.0,801,20000,1.0,0.1,fejer,0.9952964608251756,0.004703539174824356
PK-oddK,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9951323258301487,0.004867674169851344
CO,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9990556140718885,0.0009443859281115241
